nama pengguna,produk,review,rating,waktu transaksi
hanifprasetyaningtyas,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Alhamdulillah benar2 dipilihkan yang terbaik. Kondisi fisik mulus, batre health 91%. Walaupun penginnya hitam tapi yg ada merah tp its oke. packing aman, walaupun tidak memakai kayu seperti yg lain. mungkin karena sekota saja, tapi aman banget pakai bubble wrap tebal. Terimakasih, semoga bisa pesan lagi besok",5,2022-12-15 11:25
yusnitanit,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Fitur Terbaik:semua baik kaka anak wedok saya sukak terimakasih ka
Sepadan dengan Harga:mantap sesuai barangnya

Penjualnya amanah pengiriman cepat saya pesan buat anak saya yang kuliah di jogja senang sekali terimakasih kaka",5,2022-12-14 20:58
realacp,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Fitur Terbaik:bhnya 91
Sepadan dengan Harga:worth it

Semoga membantu. Adminnya ramah. Boleh dicoba disini. Imei juga udh terdaftar",5,2022-12-13 18:46
a*****i,Split iPhone,,5,2022-12-13 17:30
syafiranurk,Split iPhone,,5,2022-12-13 06:22
sitijamilatush,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-12-12 18:52
y*****p,Aksesoris (Charger & Earphone),,5,2022-12-12 10:22
s*****h,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,Unitnya bagus mulus minta BH diatas 90 dikasih yang 92% makasih min,5,2022-12-11 20:19
f*****r,iPhone 11 Pro 64GB/256GB Bekas Second Original,"Fitur Terbaik:Kamera

Barangnya mulus cuma emang bagian frame samping ada baret dikit tapi engga masalah.

Battery health 88% tapi di 3UTOOLS kedetect cuma 77%, 3UTOOLS aman ijo semua.

Overall amann, semuanya masih berfungsi dengan baik mantapp",5,2022-12-11 16:45
a*****r,iPhone 8 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"Fitur Terbaik:baik
Sepadan dengan Harga:iyaa

Tadi nya rada takut mau beli lewat online, tapi syukurlah barang mendarat dengan selamat. Imei juga terdaftar, unit juga mulus. Dan kondisi baterai healthy nya juga 100%.",5,2022-12-10 17:58
iindun,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-12-09 14:34
yul1ant1yunu5,Split iPhone,,5,2022-12-08 18:01
keisya30rohadatul,iPhone 7 Plus 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-12-08 15:22
julitadwis_01,Aksesoris (Charger & Earphone),"Fitur Terbaik:fast
Sepadan dengan Harga:gak terlalu

Sedikit terhambatkarna kurir lama jemputnya, fast charging tapi ga bisa sambil di pake main",5,2022-12-07 23:28
rizki_permana963,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-12-07 19:10
4ubor1s3wh,iPhone 12 ProMax 128GB/256GB/512GB Bekas Original 100% | NORMAL MULUS FULLSET,"Fitur Terbaik:bagus ga ada baret

Makasih kk dapet bh 90,semoga g ada kendala dan awet",5,2022-12-07 16:34
evatriana86,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-12-07 16:06
n*****2,Aksesoris (Charger & Earphone),,5,2022-12-07 16:02
riskaharyanti,iPhone 7 Plus 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-12-05 21:57
hcsnksnc,Aksesoris (Charger & Earphone),,5,2022-12-05 11:16
indah_puspitasari1976,iPhone 8Plus 64GB/256GB Second Original 100% | NORMAL MULUS FULLSET,,5,2022-12-04 14:33
andininovidya123,iPhone 7 Plus 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-12-04 06:26
n*****e,iPhone 12 64GB/128GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-12-02 20:07
diananurkumalasari,Aksesoris (Charger & Earphone),,5,2022-12-02 19:51
s*****1,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Sepadan dengan Harga:yes

All good & seller responsif",5,2022-12-02 06:58
nurmiputri2002,iPhone 11 Pro Max 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"Fitur Terbaik:bagus banget
Sepadan dengan Harga:yah

Ini pertama kali order di toko ini yah 
Sumpah keren banget 
Hpnya mulus kyak baru 
Wajib order nih buat yg mau beli hp di toko ini aja 🙏🏻🙏🏻🙏🏻",5,2022-11-30 16:37
hanyytna,iPhone 12 ProMax 128GB/256GB/512GB Bekas Original 100% | NORMAL MULUS FULLSET,"Fitur Terbaik:mantap
Sepadan dengan Harga:terjamin

BH 90%
No baret
Muluss
Pelayanannya juga mantap
Thankyou gan",5,2022-11-30 11:31
a*****o,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,Unit sesuai dengan yang di iklankan. Terimakasih,5,2022-11-29 17:16
.*****h,iPhone 11 Pro 64GB/256GB Bekas Second Original,,5,2022-11-29 15:55
valenthineraunsay,iPhone 7 Plus 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-11-29 05:15
r*****a,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,Josjis,5,2022-11-28 17:00
e*****i,Split iPhone,,5,2022-11-26 19:03
ariefichwn,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-11-26 18:27
a*****o,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-11-26 12:47
dtc.id,iPhone 11 Pro Max 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"Fitur Terbaik:BOX SEPERTI BARU, IPHONE NYA DIKIRIM KONDISI 98% BH 95% IMEI TERDAFTAR, SELLER FAST RESPONSE, REKOMENDASI.

Penjual markotop,  jujur amanah wajib di rekomendasi kan 🥰🥰🥰🥰🥰
Kalian gak usah ragu lagi ama ni toko,udah order kesekian kali bareng teman 😁",5,2022-11-26 11:47
restuuup,Accessories Charger dan Earphone,Sesuai,5,2022-11-26 10:35
putu_bayu99,iPhone 7 Plus 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,Sepadan dengan Harga:lumayan,5,2022-11-25 14:19
s*****s,Leather Case Silicone For Apple IPhone Original,,5,2022-11-25 11:26
