nama pengguna,produk,review,rating,waktu transaksi
a*****8,Iphone 11 Pro 64 GB SECOND ORIGINAL,"Alahmdullila sampe dengan selamat, cuma tadi drama dlu sama jne 😁😩",5,2022-05-27 15:46
s*****2,iphone Xs 64 GB Second Original,"Belii disini emang mantap, pelayanan baik, ramah dan ruangannya luas, bisa dicek sepuasnya. dapat unit mulus, bh tinggi dan harga cocok. semoga awet. dan buat mbak rosma mantappp🤗 beli offline transaksi online. pokoke thxyouu jordan🤝",5,2022-05-27 14:36
m*****d,iPhone Xr 64 GB Second Original,"Juos, mantabbbb, sesuai banget. Bakal langganan",5,2022-05-27 13:00
a*****o,iPhone Xr 128 GB Second Original,,5,2022-05-27 11:46
aisyahnatasyap,iPhone 8 64 GB Second Original,,5,2022-05-27 11:03
astritotting09,iPhone Xr 128 GB Second Original,"Keren parahhh cepet bangett nyampenya dari Jogja ke manokwari Papua barat cuman 3hari Via JNE, Kualitass sangat baik Dikasih BH 96% Sesuai Yang difotokan sebelum barang dikirim, dari awal mmg sangat yakin beli disini tiap hari pantengin IG tokonya 😘 Akhirnya Bisa CO, Terimakasih semoga Hpnya Awet y",5,2022-05-27 11:00
d*****3,iPhone X 64 GB Second Original,SIPPPPP,5,2022-05-27 10:44
esty_ikke,iPhone 11 64 GB Second Original,"pengiriman cepat baru order kmren eeeh skrg udah nyampai , barang bagus banget dan warna sesuai yg q inginkan , normal mulus josss pokoke , dpt cashback juga 300 rb lumayan pake banget makasih kak bakal jdi langganan",5,2022-05-27 10:42
bimasandria,iPhone Xr 64 GB Second Original,,5,2022-05-27 10:10
asheeqa050420,Iphone 11 Pro 64 GB SECOND ORIGINAL,,5,2022-05-27 10:08
nitaaapusita,iPhone X 256 Second Original,,5,2022-05-27 05:29
sima_zura08,iPhone 8 64 GB Second Original,makasih kak barang sampai dilokasi dengan selamat ❤️,5,2022-05-26 23:36
r*****8,LINK SPLIT PAYMENT TIMOHO,"Akurasi:tepat
Kemudahan penggunaan:sangat mudah
Harga:murah

Recommend banget kalo mau beli iphone di jordan corner. Pelayanan super ramah",5,2022-05-26 12:55
t*****a,Packing Kayu Dan Custom Box Pengiriman,,5,2022-05-26 08:01
t*****a,TEMPERED GLASS FOR IPHONE,,5,2022-05-26 08:01
t*****a,iPhone Xr 64 GB Second Original,,5,2022-05-26 08:01
citrasiahaan05,iPhone Xr 64 GB Second Original,,5,2022-05-25 14:54
aldinoohugos,IPHONE 12 128 GB SECOND ORIGINAL,,5,2022-05-25 14:23
aldinoohugos,iPhone Xr 64 GB Second Original,,5,2022-05-25 14:22
f*****a,LINK SPLIT ORDER ONLINE,,5,2022-05-25 10:50
silassuryo,LINK SPLIT ORDER ONLINE,,5,2022-05-25 08:02
y*****2,IPHONE 11 PRO MAX 64 GB SECOND ORIGINAL LIKE NEW,,5,2022-05-25 04:36
riani190012,IPhone Xr 256 GB Second Original,,5,2022-05-25 04:30
a*****.,IPHONE 11 PRO MAX 256 GB SECOND ORIGINAL,,5,2022-05-25 03:59
f*****7,iPhone Xs 256 GB Second Original,seller nya ramah banget. bisa di ajak kerjasama untuk masalah pengiriman. kebetulan satu wilayah Jogja. fix sih besok kalo mau upgrade iphone lg mau kesini aja deh ga ke yg lain 👌🏻,5,2022-05-25 01:21
yuliyananina,IPHONE 11 PRO MAX 64 GB SECOND ORIGINAL LIKE NEW,,5,2022-05-25 01:08
s*****d,IPHONE 12 128 GB SECOND ORIGINAL,,5,2022-05-24 16:02
primasakti23,iPhone Xr 64 GB Second Original,Puas banget,5,2022-05-24 09:50
r*****t,iPhone Xr 128 GB Second Original,,5,2022-05-24 08:00
nitecore.co,LINK SPLIT PAYMENT TIMOHO,Mantappp,5,2022-05-24 04:22
lusyrachmawati12,iPhone 8 64 GB Second Original,,5,2022-05-24 03:03
sawooland,IPHONE 11 PRO 256 GB SECOND ORI FULLSET,"Alhamdulillah, barang kondisinya 95%. 
Adminnya di fotoin dl brg sebelum dikirim, dr kondisi fisik hp, warna, dan BH hp jadi lbh pasti lg waktu mau dikirim. 
BH 90%.
Lecet msh bts normal. Dan gk keliatan. 
Saranya cmn, lbh gercep lagi kl chat, tkt org udah kecantol di toko lain. Hehehe
Terimakasih,",5,2022-05-23 13:03
1cn18uq15f,IPHONE 12 128 GB SECOND ORIGINAL,,5,2022-05-23 11:55
_rizkyut,Iphone 11 Pro 64 GB SECOND ORIGINAL,"Pengiriman super cepat, barang juga sesuai dengan ekspetasi. Terimakasih seller. Next order lagi disini. Barangnya ori kamera jernih. Super oke pokoknya",5,2022-05-23 10:52
ardeva987654321,iPhone 11 64 GB Second Original,,5,2022-05-23 10:30
a*****1,iPhone 11 64 GB Second Original,"Sampai dengan aman, bh 100%, fisik ok, fungsional aman semua, semoga awet",5,2022-05-23 10:25
a*****0,LINK SPLIT PAYMENT TIMOHO,,5,2022-05-23 02:43
l*****a,iPhone 8 64 GB Second Original,,5,2022-05-22 16:00
r*****3,iPhone Xr 128 GB Second Original,"Dapet kondisi yang bagus, dan penjualnya amaanh, fast respon, terimakasih seller baaik",5,2022-05-22 09:30
ahmedsukma,iPhone 8 64 GB Second Original,,4,2022-05-22 06:51
romanticsundayjajsjs,Iphone 11 Pro 64 GB SECOND ORIGINAL,"Overall bagus bngt mulus adminya ramah bngt dan fast respon,semoga next time bisa beli lagi disiniii,",5,2022-05-22 06:32
rinicharly,IPHONE 11 PRO 256 GB SECOND ORI FULLSET,,5,2022-05-22 02:43
nurannisa230102,Packing Kayu Dan Custom Box Pengiriman,,5,2022-05-21 22:34
nurannisa230102,iphone 7 Plus 128 GB Second Original,,5,2022-05-21 22:34
ashamarshaleha,LINK SPLIT ORDER ONLINE,,5,2022-05-21 13:59
vitrairawan13,iPhone Xr 64 GB Second Original,,5,2022-05-21 13:11
sirinnasirin,IPHONE 11 PRO MAX 64 GB SECOND ORIGINAL LIKE NEW,Mulus 🫰bh 100% smoga awet,5,2022-05-21 12:40
d*****z,Packing Kayu Dan Custom Box Pengiriman,,5,2022-05-21 07:50
d*****z,Iphone 11 Pro Max 512 GB Second Original,"Barangnya 👍👍👍👍👍 
Waktu estimasi 👍👍👍👍👍
Packing 👍👍👍👍👍
Respon admin 👍👍👍👍👍",5,2022-05-21 07:50
fanyyk,iPhone Xr 64 GB Second Original,,5,2022-05-21 02:05
puputhand17,iPhone 8 64 GB Second Original,,5,2022-05-20 11:27
h*****_,LINK SPLIT ORDER ONLINE,mantap bagus tidak mengecewakan aku suka sekali dan sangat membantu,5,2022-05-20 01:40
vincentiusrizky,IPHONE 11 PRO MAX 64 GB SECOND ORIGINAL LIKE NEW,,5,2022-05-19 16:57
andhinyp,IPhone 11 128 GB Second original,baik bgt sellernya.. di fotoin detail hpnya sebelum dikirim semoga awet hpnyaaa sukses selalu☺️💕,5,2022-05-19 16:30
zidnyhilman,Iphone 11 Pro 64 GB SECOND ORIGINAL,,5,2022-05-19 13:19
r*****a,IPhone 11 128 GB Second original,"Ipnya udah nyampe dgn selamat, udah pemakaian 10 harian ga ada kendala sama sekali. Pengirimannya lumayan lama mungkin karena lebaran 😅 btw thankyou Jordan Corner udh ngasih HP yg super bagus ini, maafkan klau cerewet dan bawel hehehe pelayanan ramah puoll dan chat selalu dibales cepet 🥰🥰😍😍",5,2022-05-19 07:58
melisagbrl,LINK SPLIT ORDER ONLINE,,5,2022-05-19 05:15
sadaridi,IPhone 11 128 GB Second original,"Udah nambah uang tf buat tg sama case . Tgnya  ga dikasih , suruh ambil di Store wonosobo . Tp udah ke Store ga dikasih apa LG karyawan Store wsb yang satunya ketus bgt kaya nggak ngehargain pembeli",3,2022-05-18 17:00
r*****a,IPHONE 11 PRO 256 GB SECOND ORI FULLSET,"Alhamdulillah dateng dg baik dan selamat sampai rumah
first time beli hp Online wkwk 
amanah juga sellernya",5,2022-05-18 06:58
fauziazulistya30,iPhone 11 64 GB Second Original,Kondisi hp bagus semoga awett yaa dan pengiriman cepat juga aman,5,2022-05-18 06:28
prelasuci,IPhone 11 128 GB Second original,,5,2022-05-18 04:57
arofat380,iPhone 8 64 GB Second Original,Semoga barangnya awet terimakasih,5,2022-05-18 03:51
dina_teres123,iphone 8 256 GB SECOND ORIGINAL,,5,2022-05-18 01:22
