nama pengguna,produk,review,rating,waktu transaksi
a*****i,iPhone 8 256GB SECOND ORIGINAL,"Toko nya sangat amanah no tipu tipu. Barang sesuai , kualitas oke . Pengiriman lancar jayaa . Respon penjual gercepppp. Barang aman tanpa lecet",5,2022-04-23 06:26
akujito,iPhone XR 128 GB Second ORIGINAL,,5,2022-04-22 17:44
_fadiyahmlyt,iPhone 5s Second Original,"Alhamdulillah produk bagus, aman sampai tujuan, bh 100%, pelayanan juga mantep bgt",5,2022-04-22 14:01
siscaocta,iPhone XR 128 GB Second ORIGINAL,,5,2022-04-22 10:13
mauludinfaqih,iPhone 5s Second Original,,5,2022-04-22 07:19
ltm6cn04bz,iPhone XR 64GB Second ORIGINAL,,5,2022-04-22 06:43
n*****h,iPhone 11 128GB  SECOND ORIGINAL,"Recommended banget beli hp disini, kalian yg baca review aku beli hp disini aja. 
Bener” amanah, trusted, bisa request mau hp yang speknya kaya gimana dan bisa request baterai health ataupun 3utools. Bener” mulus like new no baret samsek, 3utools ijo semua. 
Pengiriman ke bekasi bener” aman…",5,2022-04-21 10:28
d*****a,iPhone XR 64GB Second ORIGINAL,Selalu puas belanja disini. Unit yang kedua dong beli disini👍🏻😍,5,2022-04-21 09:12
nifasartika23,iPhone XR 64GB Second ORIGINAL,,4,2022-04-21 06:13
ihsan25_,iPhone 5s Second Original,,5,2022-04-21 01:54
eliskawijanuri,iPhone XS 64GB SECOND ORIGINAL,,5,2022-04-20 12:47
h*****i,iPhone 5s Second Original,Bisa langsung dateng ke toko buat milih2 barangnya. Dan di bantu cek in sama kakak2nya. Mudah banget juga prosesnya. Sukak 🙏🏻🙏🏻,5,2022-04-20 04:30
tofikohhidayatun,iPhone XS 64GB SECOND ORIGINAL,Alhamdulillah.. cepet bgt pengirimannya hanya 2 hari dong 😍 adminnya juga fast respon banget. Hp Ori super recommend. Terimakasih sellerrrrrrrr 🥰🥰,5,2022-04-19 14:05
d*****s,iPhone  5s  SECOND ORIGINAL,Penjual sangan responsive dan membantu. Thank you semoga tidak ada kendala,5,2022-04-19 10:22
